id,Source,Target,Weight
0,/product/23gzK8,/product/484BD3,1
1,/product/23gzK8,/product/6mm323,1
2,/product/23gzK8,/product/GTCD4D,1
3,/product/23gzK8,/product/NyTPxr,1
4,/product/23gzK8,/product/bddxFT,1
5,/product/23gzK8,/product/ph38TW,1
6,/product/23gzK8,/product/q3Z2FT,1
7,/product/23gzK8,/product/s2848d,1
8,/product/23gzK8,/product/ynhKHx,1
9,/product/28qhP6,/product/2H7p99,1
10,/product/28qhP6,/product/2k3H99,4
11,/product/28qhP6,/product/3MJkcf,1
12,/product/28qhP6,/product/3yrmP6,1
13,/product/28qhP6,/product/44Gj4D,1
14,/product/28qhP6,/product/4srmP6,1
15,/product/28qhP6,/product/6j448d,1
16,/product/28qhP6,/product/6jBTwP,1
17,/product/28qhP6,/product/6kdrxr,1
18,/product/28qhP6,/product/6yKcCJ,1
19,/product/28qhP6,/product/8nhKHx,1
20,/product/28qhP6,/product/9nhKHx,1
21,/product/28qhP6,/product/BJWfrH,1
22,/product/28qhP6,/product/BcQG3C,1
23,/product/28qhP6,/product/BxTzK8,1
24,/product/28qhP6,/product/CbL7YJ,1
25,/product/28qhP6,/product/Cf98TW,1
26,/product/28qhP6,/product/DZCD4D,1
27,/product/28qhP6,/product/Fz2kcf,1
28,/product/28qhP6,/product/G9XYcf,1
29,/product/28qhP6,/product/GPdxFT,1
30,/product/28qhP6,/product/GTCD4D,2
31,/product/28qhP6,/product/H43H99,1
32,/product/28qhP6,/product/HfMwrH,1
33,/product/28qhP6,/product/JLdxFT,2
34,/product/28qhP6,/product/JQQRsY,1
35,/product/28qhP6,/product/JVWrxr,1
36,/product/28qhP6,/product/Jd8j4D,1
37,/product/28qhP6,/product/K3ndnQ,1
38,/product/28qhP6,/product/MWL48d,2
39,/product/28qhP6,/product/MwW9TW,1
40,/product/28qhP6,/product/N6gzK8,2
41,/product/28qhP6,/product/P4ZFf7,4
42,/product/28qhP6,/product/PBPKHx,1
43,/product/28qhP6,/product/PfrYcf,1
44,/product/28qhP6,/product/PgDJ7P,1
45,/product/28qhP6,/product/QDVD4D,4
46,/product/28qhP6,/product/QDhKHx,6
47,/product/28qhP6,/product/QNn8TW,1
48,/product/28qhP6,/product/TLvbt6,1
49,/product/28qhP6,/product/TkfFf7,3
50,/product/28qhP6,/product/Tmprxr,2
51,/product/28qhP6,/product/TwWfrH,2
52,/product/28qhP6,/product/XJxbt6,1
53,/product/28qhP6,/product/XML48d,1
54,/product/28qhP6,/product/XZhKHx,1
55,/product/28qhP6,/product/YNVBD3,1
56,/product/28qhP6,/product/ZNBrxr,1
57,/product/28qhP6,/product/ZQvbt6,1
58,/product/28qhP6,/product/ZgbCmG,1
59,/product/28qhP6,/product/Zxw7YJ,1
60,/product/28qhP6,/product/Zz3H99,1
61,/product/28qhP6,/product/bpL48d,1
62,/product/28qhP6,/product/btDzK8,1
63,/product/28qhP6,/product/cHZFf7,1
64,/product/28qhP6,/product/ffbwrH,1
65,/product/28qhP6,/product/fjWfrH,1
66,/product/28qhP6,/product/ft8j4D,1
67,/product/28qhP6,/product/h3tQzy,2
68,/product/28qhP6,/product/j28H99,1
69,/product/28qhP6,/product/j8tWGX,1
70,/product/28qhP6,/product/jjZ2FT,2
71,/product/28qhP6,/product/jp2rxr,1
72,/product/28qhP6,/product/kHxbt6,1
73,/product/28qhP6,/product/mwrYcf,3
74,/product/28qhP6,/product/njXYcf,1
75,/product/28qhP6,/product/nzpmP6,1
76,/product/28qhP6,/product/p2GxFT,1
77,/product/28qhP6,/product/p6RFf7,2
78,/product/28qhP6,/product/pD3mP6,1
79,/product/28qhP6,/product/pxKcCJ,2
80,/product/28qhP6,/product/q3Z2FT,2
81,/product/28qhP6,/product/q6ndnQ,1
82,/product/28qhP6,/product/qzPgXL,1
83,/product/28qhP6,/product/rbTzK8,1
84,/product/28qhP6,/product/rpsmP6,1
85,/product/28qhP6,/product/t8qhP6,2
86,/product/28qhP6,/product/tTCFf7,1
87,/product/28qhP6,/product/tmTPxr,1
88,/product/28qhP6,/product/vfDJ7P,1
89,/product/28qhP6,/product/vvx2FT,1
90,/product/28qhP6,/product/x28H99,1
91,/product/28qhP6,/product/xpYLrH,1
92,/product/28qhP6,/product/y9rcCJ,1
93,/product/28qhP6,/product/ybrcCJ,1
94,/product/28qhP6,/product/yzfhP6,1
95,/product/28qhP6,/product/z3VD4D,1
96,/product/28qhP6,/product/zR3H99,1
97,/product/28qhP6,/product/zzvqqs,1
98,/product/2FDzK8,/product/3wKcCJ,1
99,/product/2FDzK8,/product/6mm323,1
100,/product/2FDzK8,/product/8hM323,1
101,/product/2FDzK8,/product/9nm323,1
102,/product/2FDzK8,/product/DxrYcf,1
103,/product/2FDzK8,/product/Kh38TW,1
104,/product/2FDzK8,/product/MsWfrH,1
105,/product/2FDzK8,/product/MwW9TW,1
106,/product/2FDzK8,/product/QDhKHx,2
107,/product/2FDzK8,/product/RD97YJ,1
108,/product/2FDzK8,/product/XQgzK8,1
109,/product/2FDzK8,/product/Y4W9TW,1
110,/product/2FDzK8,/product/ffbwrH,1
111,/product/2FDzK8,/product/gx648d,1
112,/product/2FDzK8,/product/jLF48d,1
113,/product/2FDzK8,/product/mwrYcf,3
114,/product/2FDzK8,/product/p6RFf7,2
115,/product/2FDzK8,/product/qzPgXL,1
116,/product/2FDzK8,/product/tLCD4D,1
117,/product/2FDzK8,/product/xpYLrH,1
119,/product/2H7p99,/product/3yQG3C,1
120,/product/2H7p99,/product/6jBTwP,1
121,/product/2H7p99,/product/6yKcCJ,2
122,/product/2H7p99,/product/7CZzK8,1
123,/product/2H7p99,/product/9nm323,4
124,/product/2H7p99,/product/BDYLrH,1
125,/product/2H7p99,/product/BcQG3C,1
126,/product/2H7p99,/product/KZLwrH,1
127,/product/2H7p99,/product/MwW9TW,1
128,/product/2H7p99,/product/N7zkcf,1
129,/product/2H7p99,/product/P4ZFf7,1
130,/product/2H7p99,/product/QDVD4D,1
131,/product/2H7p99,/product/QDhKHx,2
132,/product/2H7p99,/product/QKJtt6,1
133,/product/2H7p99,/product/QQrmP6,1
134,/product/2H7p99,/product/TJwkcf,1
135,/product/2H7p99,/product/XQgzK8,1
136,/product/2H7p99,/product/YvZzK8,1
137,/product/2H7p99,/product/bddxFT,1
138,/product/2H7p99,/product/fjWfrH,1
139,/product/2H7p99,/product/j28H99,1
140,/product/2H7p99,/product/jBZzK8,2
141,/product/2H7p99,/product/kbx2FT,1
142,/product/2H7p99,/product/mwrYcf,2
143,/product/2H7p99,/product/pxKcCJ,1
144,/product/2H7p99,/product/q4Dkcf,2
145,/product/2H7p99,/product/qpL48d,1
146,/product/2H7p99,/product/sNc48d,1
147,/product/2H7p99,/product/whMTwP,1
148,/product/2H7p99,/product/zzvqqs,1
149,/product/2K22FT,/product/6kdrxr,1
150,/product/2K22FT,/product/JLdxFT,1
151,/product/2K22FT,/product/N6gzK8,1
152,/product/2K22FT,/product/NQ7p99,1
153,/product/2K22FT,/product/NqsnTW,1
154,/product/2K22FT,/product/NyTPxr,1
155,/product/2K22FT,/product/Q7kj4D,2
156,/product/2K22FT,/product/QDhKHx,2
157,/product/2K22FT,/product/QKJtt6,1
158,/product/2K22FT,/product/TLvbt6,1
159,/product/2K22FT,/product/WtyV3C,1
160,/product/2K22FT,/product/XV6qqs,1
161,/product/2K22FT,/product/YNVBD3,1
162,/product/2K22FT,/product/ZZZzK8,1
163,/product/2K22FT,/product/bddxFT,1
164,/product/2K22FT,/product/dmGnTW,2
165,/product/2K22FT,/product/g2YQzy,2
166,/product/2K22FT,/product/kHxbt6,1
167,/product/2K22FT,/product/rJm323,1
168,/product/2K22FT,/product/sF648d,1
169,/product/2K22FT,/product/tLCD4D,3
170,/product/2K22FT,/product/xvCD4D,2
171,/product/2K22FT,/product/zZKcCJ,1
172,/product/2Phj4D,/product/BDYLrH,1
173,/product/2Phj4D,/product/FNprxr,1
174,/product/2Phj4D,/product/Ty6BD3,1
175,/product/2Phj4D,/product/VKx9TW,2
176,/product/2Phj4D,/product/Ykbkcf,1
177,/product/2Phj4D,/product/Z8cMnQ,1
178,/product/2Phj4D,/product/tdmxFT,1
179,/product/2Phj4D,/product/ybrcCJ,1
180,/product/2Phj4D,/product/zR3H99,1
181,/product/2Qqbt6,/product/8HqBD3,1
182,/product/2Qqbt6,/product/9JyxFT,1
183,/product/2Qqbt6,/product/9nm323,1
184,/product/2Qqbt6,/product/CLkgXL,1
185,/product/2Qqbt6,/product/DwVG3C,1
186,/product/2Qqbt6,/product/KTQG3C,1
187,/product/2Qqbt6,/product/LfDkcf,1
188,/product/2Qqbt6,/product/N7zkcf,1
189,/product/2Qqbt6,/product/NhgzK8,1
190,/product/2Qqbt6,/product/Pq97YJ,1
191,/product/2Qqbt6,/product/QDhKHx,1
192,/product/2Qqbt6,/product/RRTPxr,1
193,/product/2Qqbt6,/product/WPQG3C,1
194,/product/2Qqbt6,/product/XQgzK8,1
195,/product/2Qqbt6,/product/bVtQzy,1
196,/product/2Qqbt6,/product/btDzK8,1
197,/product/2Qqbt6,/product/dCxfrH,1
198,/product/2Qqbt6,/product/fGDzK8,1
199,/product/2Qqbt6,/product/kbx2FT,1
200,/product/2Qqbt6,/product/nd9tt6,1
201,/product/2Qqbt6,/product/tLCD4D,1
202,/product/2RPfrH,/product/9nhKHx,1
203,/product/2RPfrH,/product/JmyV3C,1
204,/product/2RPfrH,/product/MC3H99,1
205,/product/2RPfrH,/product/QKJtt6,1
206,/product/2RPfrH,/product/gnDJ7P,1
207,/product/2RPfrH,/product/kXbkcf,1
208,/product/2RPfrH,/product/x2X2FT,1
209,/product/2TFKHx,/product/BhmFf7,1
210,/product/2TFKHx,/product/L9YLrH,1
211,/product/2TFKHx,/product/MBMwrH,1
212,/product/2TFKHx,/product/nF8j4D,1
213,/product/2TFKHx,/product/nHxbt6,1
214,/product/2TFKHx,/product/qryV3C,1
215,/product/2TFKHx,/product/tTCFf7,1
216,/product/2WZzK8,/product/BcQG3C,1
217,/product/2WZzK8,/product/DZCD4D,1
218,/product/2WZzK8,/product/FVfhP6,1
219,/product/2WZzK8,/product/LhCD4D,1
220,/product/2WZzK8,/product/XQgzK8,1
221,/product/2WZzK8,/product/bddxFT,1
222,/product/2WZzK8,/product/s2848d,1
223,/product/2bJtt6,/product/43BTwP,1
224,/product/2bJtt6,/product/44Gj4D,1
225,/product/2bJtt6,/product/6YtQzy,1
226,/product/2bJtt6,/product/6j448d,1
227,/product/2bJtt6,/product/7bRgXL,1
228,/product/2bJtt6,/product/8nhKHx,1
229,/product/2bJtt6,/product/9L7p99,1
230,/product/2bJtt6,/product/9nhKHx,2
231,/product/2bJtt6,/product/9nm323,4
232,/product/2bJtt6,/product/CXvqqs,1
233,/product/2bJtt6,/product/CdPKHx,1
234,/product/2bJtt6,/product/CnpmP6,2
235,/product/2bJtt6,/product/DdbCmG,1
236,/product/2bJtt6,/product/HWbCmG,1
237,/product/2bJtt6,/product/Hy97YJ,1
238,/product/2bJtt6,/product/Mh9tt6,1
239,/product/2bJtt6,/product/Mr2rxr,1
240,/product/2bJtt6,/product/P4ZFf7,1
241,/product/2bJtt6,/product/QKJtt6,1
242,/product/2bJtt6,/product/QNn8TW,1
243,/product/2bJtt6,/product/T47v6h,1
244,/product/2bJtt6,/product/Tmprxr,1
245,/product/2bJtt6,/product/XQgzK8,1
246,/product/2bJtt6,/product/ZY97YJ,1
247,/product/2bJtt6,/product/btDzK8,1
248,/product/2bJtt6,/product/dCxfrH,1
249,/product/2bJtt6,/product/jcYQzy,1
250,/product/2bJtt6,/product/mwrYcf,1
251,/product/2bJtt6,/product/nHxbt6,1
252,/product/2bJtt6,/product/qryV3C,1
253,/product/2bJtt6,/product/sNc48d,1
254,/product/2bJtt6,/product/wb7v6h,1
255,/product/2bJtt6,/product/yzfhP6,1
256,/product/2fGj4D,/product/3WYLrH,1
257,/product/2fGj4D,/product/6mm323,1
258,/product/2fGj4D,/product/6yKcCJ,1
259,/product/2fGj4D,/product/88bwrH,1
260,/product/2fGj4D,/product/8HqBD3,1
261,/product/2fGj4D,/product/9nhKHx,1
262,/product/2fGj4D,/product/Cf98TW,1
263,/product/2fGj4D,/product/HG97YJ,1
264,/product/2fGj4D,/product/QZLwrH,1
265,/product/2fGj4D,/product/jBZzK8,1
266,/product/2fGj4D,/product/jcYQzy,1
267,/product/2fGj4D,/product/xpYLrH,1
268,/product/2jL48d,/product/3WYLrH,1
269,/product/2jL48d,/product/3sJmP6,1
270,/product/2jL48d,/product/8jH48d,1
271,/product/2jL48d,/product/JgLwrH,1
272,/product/2jL48d,/product/MwW9TW,1
273,/product/2jL48d,/product/QDhKHx,1
274,/product/2jL48d,/product/QKJtt6,1
275,/product/2jL48d,/product/QQrmP6,1
276,/product/2jL48d,/product/XML48d,1
